,probe_g,
205842_s_at,JAK2,Janus kinase 2
205843_x_at,CRAT,carnitine O-acetyltransferase
205844_at,VNN1,vanin 1
205845_at,CACNA1H,calcium voltage-gated channel subunit alpha1 H
205846_at,PTPRB,protein tyrosine phosphatase receptor type B
205847_at,PRSS22,serine protease 22
205848_at,GAS2,growth arrest specific 2
205849_s_at,UQCRB,ubiquinol-cytochrome c reductase binding protein
205850_s_at,GABRB3,gamma-aminobutyric acid type A receptor subunit beta3
205851_at,NME6,NME/NM23 nucleoside diphosphate kinase 6
205852_at,CDK5R2,cyclin dependent kinase 5 regulatory subunit 2
205853_at,ZBTB7B,zinc finger and BTB domain containing 7B
205854_at,TULP3,TUB like protein 3
205855_at,ZNF197,zinc finger protein 197
205856_at,SLC14A1,solute carrier family 14 member 1 (Kidd blood group)
205857_at,SLC18A2,solute carrier family 18 member A2
205858_at,NGFR,nerve growth factor receptor
205859_at,LY86,lymphocyte antigen 86
205860_x_at,FOLH1,folate hydrolase 1
205860_x_at,FOLH1B,folate hydrolase 1B
205861_at,SPIB,Spi-B transcription factor
205862_at,GREB1,growth regulating estrogen receptor binding 1
205863_at,S100A12,S100 calcium binding protein A12
205864_at,SLC7A4,solute carrier family 7 member 4
205865_at,ARID3A,AT-rich interaction domain 3A
205866_at,FCN3,ficolin 3
205867_at,PTPN11,protein tyrosine phosphatase non-receptor type 11
205868_s_at,PTPN11,protein tyrosine phosphatase non-receptor type 11
205869_at,PRSS1,serine protease 1
205870_at,BDKRB2,bradykinin receptor B2
205871_at,PLGLB2,plasminogen like B2
205871_at,PLGLB1,plasminogen like B1
205872_x_at,PDE4DIP,phosphodiesterase 4D interacting protein
205873_at,PIGL,phosphatidylinositol glycan anchor biosynthesis class L
205874_at,ITPKA,inositol-trisphosphate 3-kinase A
205875_s_at,TREX1,three prime repair exonuclease 1
205876_at,LIFR,LIF receptor subunit alpha
205877_s_at,ZC3H7B,zinc finger CCCH-type containing 7B
205878_at,POU6F1,POU class 6 homeobox 1
205879_x_at,RET,ret proto-oncogene
205880_at,PRKD1,protein kinase D1
205881_at,ZNF74,zinc finger protein 74
205882_x_at,ADD3,adducin 3
205883_at,ZBTB16,zinc finger and BTB domain containing 16
205884_at,ITGA4,integrin subunit alpha 4
205885_s_at,ITGA4,integrin subunit alpha 4
205886_at,REG1B,regenerating family member 1 beta
205887_x_at,MSH3,mutS homolog 3
205888_s_at,JAKMIP2,janus kinase and microtubule interacting protein 2
205889_s_at,JAKMIP2,janus kinase and microtubule interacting protein 2
205890_s_at,UBD,ubiquitin D
205890_s_at,GABBR1,gamma-aminobutyric acid type B receptor subunit 1
205891_at,ADORA2B,adenosine A2b receptor
205892_s_at,FABP1,fatty acid binding protein 1
205893_at,NLGN1,neuroligin 1
205894_at,ARSL,arylsulfatase L
205895_s_at,NOLC1,nucleolar and coiled-body phosphoprotein 1
205896_at,SLC22A4,solute carrier family 22 member 4
205897_at,NFATC4,nuclear factor of activated T cells 4
205898_at,CX3CR1,C-X3-C motif chemokine receptor 1
205899_at,CCNA1,cyclin A1
205900_at,KRT1,keratin 1
205901_at,PNOC,prepronociceptin
205902_at,KCNN3,potassium calcium-activated channel subfamily N member 3
205903_s_at,KCNN3,potassium calcium-activated channel subfamily N member 3
205904_at,MICA,MHC class I polypeptide-related sequence A
205905_s_at,MICA,MHC class I polypeptide-related sequence A
205905_s_at,MICB,MHC class I polypeptide-related sequence B
205906_at,FOXJ1,forkhead box J1
205907_s_at,OMD,osteomodulin
205908_s_at,OMD,osteomodulin
205909_at,POLE2,"DNA polymerase epsilon 2, accessory subunit"
205910_s_at,CEL,carboxyl ester lipase
205911_at,PTH1R,parathyroid hormone 1 receptor
205912_at,PNLIP,pancreatic lipase
205913_at,PLIN1,perilipin 1
205914_s_at,GRIN1,glutamate ionotropic receptor NMDA type subunit 1
205915_x_at,GRIN1,glutamate ionotropic receptor NMDA type subunit 1
205916_at,S100A7,S100 calcium binding protein A7
205917_at,ZNF264,zinc finger protein 264
205918_at,SLC4A3,solute carrier family 4 member 3
205919_at,HBE1,hemoglobin subunit epsilon 1
205920_at,SLC6A6,solute carrier family 6 member 6
205921_s_at,SLC6A6,solute carrier family 6 member 6
205922_at,VNN2,vanin 2
205923_at,RELN,reelin
205924_at,RAB3B,"RAB3B, member RAS oncogene family"
205925_s_at,RAB3B,"RAB3B, member RAS oncogene family"
205926_at,IL27RA,interleukin 27 receptor subunit alpha
205927_s_at,CTSE,cathepsin E
205928_at,ZNF443,zinc finger protein 443
205929_at,GPA33,glycoprotein A33
205930_at,GTF2E1,general transcription factor IIE subunit 1
205931_s_at,CREB5,cAMP responsive element binding protein 5
205932_s_at,MSX1,msh homeobox 1
205933_at,SETBP1,SET binding protein 1
205934_at,PLCL1,phospholipase C like 1 (inactive)
205935_at,FOXF1,forkhead box F1
205936_s_at,HK3,hexokinase 3
205937_at,CGREF1,cell growth regulator with EF-hand domain 1
205938_at,PPM1E,"protein phosphatase, Mg2+/Mn2+ dependent 1E"
205939_at,CYP3A7,cytochrome P450 family 3 subfamily A member 7
205940_at,MYH3,myosin heavy chain 3
205941_s_at,COL10A1,collagen type X alpha 1 chain
205942_s_at,ACSM3,acyl-CoA synthetase medium chain family member 3
205943_at,TDO2,"tryptophan 2,3-dioxygenase"
205944_s_at,CLTCL1,clathrin heavy chain like 1
205945_at,IL6R,interleukin 6 receptor
205946_at,VIPR2,vasoactive intestinal peptide receptor 2
205947_s_at,VIPR2,vasoactive intestinal peptide receptor 2
205948_at,PTPRT,protein tyrosine phosphatase receptor type T
205949_at,CA1,carbonic anhydrase 1
205950_s_at,CA1,carbonic anhydrase 1
205951_at,MYH1,myosin heavy chain 1
205952_at,KCNK3,potassium two pore domain channel subfamily K member 3
205953_at,LRIG2,leucine rich repeats and immunoglobulin like domains 2
205954_at,RXRG,retinoid X receptor gamma
205955_at,NA,NA
205956_x_at,PSMC3IP,PSMC3 interacting protein
205957_at,PLXNB3,plexin B3
205958_x_at,CSHL1,chorionic somatomammotropin hormone like 1
205959_at,MMP13,matrix metallopeptidase 13
205960_at,PDK4,pyruvate dehydrogenase kinase 4
205961_s_at,PSIP1,PC4 and SFRS1 interacting protein 1
205962_at,PAK2,p21 (RAC1) activated kinase 2
205963_s_at,DNAJA3,DnaJ heat shock protein family (Hsp40) member A3
205964_at,ZNF426,zinc finger protein 426
205965_at,BATF,basic leucine zipper ATF-like transcription factor
205966_at,TAF13,TATA-box binding protein associated factor 13
205967_at,H4C3,H4 clustered histone 3
205968_at,KCNS3,potassium voltage-gated channel modifier subfamily S member 3
205969_at,AADAC,arylacetamide deacetylase
205970_at,MT3,metallothionein 3
205971_s_at,CTRB1,chymotrypsinogen B1
205971_s_at,CTRB2,chymotrypsinogen B2
205972_at,SLC38A3,solute carrier family 38 member 3
205973_at,FEZ1,fasciculation and elongation protein zeta 1
205974_at,HOXD1,homeobox D1
205974_at,MIR7704,microRNA 7704
205975_s_at,HOXD1,homeobox D1
205976_at,FASTKD2,FAST kinase domains 2
205977_s_at,EPHA1,EPH receptor A1
205978_at,KL,klotho
205979_at,SCGB2A1,secretoglobin family 2A member 1
205980_s_at,PRR5,proline rich 5
205980_s_at,ARHGAP8,Rho GTPase activating protein 8
205980_s_at,PRR5-ARHGAP8,PRR5-ARHGAP8 readthrough
205981_s_at,ING2,inhibitor of growth family member 2
205982_x_at,SFTPC,surfactant protein C
205983_at,DPEP1,dipeptidase 1
205984_at,CRHBP,corticotropin releasing hormone binding protein
205985_x_at,CLCNKB,chloride voltage-gated channel Kb
205986_at,AATK,apoptosis associated tyrosine kinase
205987_at,CD1C,CD1c molecule
205988_at,CD84,CD84 molecule
205989_s_at,MOG,myelin oligodendrocyte glycoprotein
205990_s_at,WNT5A,Wnt family member 5A
205991_s_at,PRRX1,paired related homeobox 1
205992_s_at,IL15,interleukin 15
205993_s_at,TBX2,T-box transcription factor 2
205994_at,ELK4,ETS transcription factor ELK4
205995_x_at,IQCB1,IQ motif containing B1
205996_s_at,AK2,adenylate kinase 2
205997_at,ADAM28,ADAM metallopeptidase domain 28
205998_x_at,CYP3A4,cytochrome P450 family 3 subfamily A member 4
205999_x_at,CYP3A4,cytochrome P450 family 3 subfamily A member 4
206000_at,MEP1A,meprin A subunit alpha
206001_at,NPY,neuropeptide Y
206002_at,ADGRG2,adhesion G protein-coupled receptor G2
206003_at,CEP135,centrosomal protein 135
206004_at,TGM3,transglutaminase 3
206005_s_at,CEP162,centrosomal protein 162
206006_s_at,CEP162,centrosomal protein 162
206007_at,PRG4,proteoglycan 4
206008_at,TGM1,transglutaminase 1
206009_at,ITGA9,integrin subunit alpha 9
206010_at,HABP2,hyaluronan binding protein 2
206011_at,CASP1,caspase 1
206012_at,LEFTY2,left-right determination factor 2
206013_s_at,ACTL6B,actin like 6B
206014_at,ACTL6B,actin like 6B
206015_s_at,FOXJ3,forkhead box J3
206016_at,CCDC22,coiled-coil domain containing 22
206017_at,KIAA0319,KIAA0319
206018_at,FOXG1,forkhead box G1
206019_at,RBM19,RNA binding motif protein 19
206020_at,SOCS6,suppressor of cytokine signaling 6
206021_at,SCAND2P,SCAN domain containing 2 pseudogene
206022_at,NDP,norrin cystine knot growth factor NDP
206023_at,NMU,neuromedin U
206024_at,HPD,4-hydroxyphenylpyruvate dioxygenase
206025_s_at,TNFAIP6,TNF alpha induced protein 6
206026_s_at,TNFAIP6,TNF alpha induced protein 6
206027_at,S100A3,S100 calcium binding protein A3
206028_s_at,MERTK,"MER proto-oncogene, tyrosine kinase"
206029_at,ANKRD1,ankyrin repeat domain 1
206030_at,ASPA,aspartoacylase
206031_s_at,USP5,ubiquitin specific peptidase 5
206032_at,DSC3,desmocollin 3
206033_s_at,DSC3,desmocollin 3
206034_at,SERPINB8,serpin family B member 8
206035_at,REL,"REL proto-oncogene, NF-kB subunit"
206036_s_at,REL,"REL proto-oncogene, NF-kB subunit"
206037_at,KYAT1,kynurenine aminotransferase 1
206038_s_at,NR2C2,nuclear receptor subfamily 2 group C member 2
206039_at,RAB33A,"RAB33A, member RAS oncogene family"
206040_s_at,MAPK11,mitogen-activated protein kinase 11
206042_x_at,SNURF,SNRPN upstream open reading frame
206042_x_at,SNRPN,small nuclear ribonucleoprotein polypeptide N
206043_s_at,ATP2C2,ATPase secretory pathway Ca2+ transporting 2
206044_s_at,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
206044_s_at,KIAA1549,KIAA1549
206045_s_at,NOL4,nucleolar protein 4
206046_at,ADAM23,ADAM metallopeptidase domain 23
206047_at,GNB3,G protein subunit beta 3
206048_at,OVOL2,ovo like zinc finger 2
206049_at,SELP,selectin P
206050_s_at,RNH1,ribonuclease/angiogenin inhibitor 1
206051_at,ELAVL4,ELAV like RNA binding protein 4
206052_s_at,SLBP,stem-loop binding protein
206053_at,ZNF510,zinc finger protein 510
206054_at,KNG1,kininogen 1
206055_s_at,SNRPA1,small nuclear ribonucleoprotein polypeptide A'
206056_x_at,SPN,sialophorin
206057_x_at,SPN,sialophorin
206058_at,SLC6A12,solute carrier family 6 member 12
206059_at,ZNF91,zinc finger protein 91
206060_s_at,PTPN22,protein tyrosine phosphatase non-receptor type 22
206061_s_at,DICER1,"dicer 1, ribonuclease III"
206062_at,GUCA1A,guanylate cyclase activator 1A
206063_x_at,PPIL2,peptidylprolyl isomerase like 2
206064_s_at,PPIL2,peptidylprolyl isomerase like 2
206065_s_at,DPYS,dihydropyrimidinase
206066_s_at,RAD51C,RAD51 paralog C
206067_s_at,WT1,WT1 transcription factor
206068_s_at,ACADL,acyl-CoA dehydrogenase long chain
206069_s_at,ACADL,acyl-CoA dehydrogenase long chain
206070_s_at,EPHA3,EPH receptor A3
206071_s_at,EPHA3,EPH receptor A3
206072_at,UCN,urocortin
206073_at,COLQ,collagen like tail subunit of asymmetric acetylcholinesterase
206074_s_at,HMGA1,high mobility group AT-hook 1
206075_s_at,CSNK2A1,casein kinase 2 alpha 1
206076_at,LRRC23,leucine rich repeat containing 23
206077_at,KEL,Kell metallo-endopeptidase (Kell blood group)
206078_at,KALRN,kalirin RhoGEF kinase
206079_at,CHML,CHM like Rab escort protein
206080_at,PLCH2,phospholipase C eta 2
206081_at,SLC24A1,solute carrier family 24 member 1
206082_at,HCP5,HLA complex P5
206083_at,ADGRB1,adhesion G protein-coupled receptor B1
206084_at,PTPRR,protein tyrosine phosphatase receptor type R
206085_s_at,CTH,cystathionine gamma-lyase
206086_x_at,HFE,homeostatic iron regulator
206087_x_at,HFE,homeostatic iron regulator
206088_at,LRRC37A,leucine rich repeat containing 37A
206088_at,LRRC37A3,leucine rich repeat containing 37 member A3
206088_at,LRRC37A2,leucine rich repeat containing 37 member A2
206089_at,NELL1,neural EGFL like 1
206090_s_at,DISC1,DISC1 scaffold protein
206090_s_at,TSNAX-DISC1,TSNAX-DISC1 readthrough (NMD candidate)
206091_at,MATN3,matrilin 3
206092_x_at,RTEL1,regulator of telomere elongation helicase 1
206092_x_at,RTEL1-TNFRSF6B,RTEL1-TNFRSF6B readthrough (NMD candidate)
206093_x_at,TNXA,tenascin XA (pseudogene)
206093_x_at,TNXB,tenascin XB
206094_x_at,UGT1A6,UDP glucuronosyltransferase family 1 member A6
206094_x_at,UGT1A10,UDP glucuronosyltransferase family 1 member A10
206094_x_at,UGT1A8,UDP glucuronosyltransferase family 1 member A8
206094_x_at,UGT1A7,UDP glucuronosyltransferase family 1 member A7
206094_x_at,UGT1A5,UDP glucuronosyltransferase family 1 member A5
206094_x_at,UGT1A9,UDP glucuronosyltransferase family 1 member A9
206094_x_at,UGT1A4,UDP glucuronosyltransferase family 1 member A4
206094_x_at,UGT1A1,UDP glucuronosyltransferase family 1 member A1
206094_x_at,UGT1A3,UDP glucuronosyltransferase family 1 member A3
206095_s_at,SRSF10,serine and arginine rich splicing factor 10
206096_at,ZNF35,zinc finger protein 35
206097_at,SLC22A18AS,solute carrier family 22 member 18 antisense
206098_at,ZBTB6,zinc finger and BTB domain containing 6
206099_at,PRKCH,protein kinase C eta
206100_at,CPM,carboxypeptidase M
206101_at,ECM2,extracellular matrix protein 2
206102_at,GINS1,GINS complex subunit 1
206103_at,RAC3,Rac family small GTPase 3
206104_at,ISL1,ISL LIM homeobox 1
206105_at,AFF2,AF4/FMR2 family member 2
206106_at,MAPK12,mitogen-activated protein kinase 12
206107_at,RGS11,regulator of G protein signaling 11
206108_s_at,SRSF6,serine and arginine rich splicing factor 6
206109_at,FUT1,fucosyltransferase 1 (H blood group)
206110_at,H3C10,H3 clustered histone 10
206111_at,RNASE2,ribonuclease A family member 2
206112_at,ANKRD7,ankyrin repeat domain 7
206113_s_at,RAB5A,"RAB5A, member RAS oncogene family"
206114_at,EPHA4,EPH receptor A4
206115_at,EGR3,early growth response 3
206116_s_at,TPM1,tropomyosin 1
206117_at,TPM1,tropomyosin 1
206118_at,STAT4,signal transducer and activator of transcription 4
206119_at,BHMT,betaine--homocysteine S-methyltransferase
206120_at,CD33,CD33 molecule
206121_at,AMPD1,adenosine monophosphate deaminase 1
206122_at,SOX15,SRY-box transcription factor 15
206123_at,LLGL1,LLGL scribble cell polarity complex component 1
206124_s_at,LLGL1,LLGL scribble cell polarity complex component 1
206125_s_at,KLK8,kallikrein related peptidase 8
206126_at,CXCR5,C-X-C motif chemokine receptor 5
206127_at,ELK3,ETS transcription factor ELK3
206128_at,ADRA2C,adrenoceptor alpha 2C
206129_s_at,ARSB,arylsulfatase B
206130_s_at,ASGR2,asialoglycoprotein receptor 2
206131_at,CLPS,colipase
206132_at,MCC,MCC regulator of WNT signaling pathway
206133_at,XAF1,XIAP associated factor 1
206134_at,ADAMDEC1,ADAM like decysin 1
206135_at,ST18,ST18 C2H2C-type zinc finger transcription factor
206136_at,FZD5,frizzled class receptor 5
206137_at,RIMS2,regulating synaptic membrane exocytosis 2
206138_s_at,PI4KB,phosphatidylinositol 4-kinase beta
206139_at,PI4KB,phosphatidylinositol 4-kinase beta
206140_at,LHX2,LIM homeobox 2
206141_at,MOCS3,molybdenum cofactor synthesis 3
206142_at,ZNF135,zinc finger protein 135
206143_at,SLC26A3,solute carrier family 26 member 3
206144_at,MAGI1,"membrane associated guanylate kinase, WW and PDZ domain containing 1"
206145_at,RHAG,Rh associated glycoprotein
206146_s_at,RHAG,Rh associated glycoprotein
206147_x_at,SCML2,Scm polycomb group protein like 2
206148_at,IL3RA,interleukin 3 receptor subunit alpha
206149_at,CHP2,calcineurin like EF-hand protein 2
206150_at,CD27,CD27 molecule
206151_x_at,CELA3B,chymotrypsin like elastase 3B
206152_at,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
206153_at,CYP4F11,cytochrome P450 family 4 subfamily F member 11
206154_at,RLBP1,retinaldehyde binding protein 1
206155_at,ABCC2,ATP binding cassette subfamily C member 2
206156_at,GJB5,gap junction protein beta 5
206157_at,PTX3,pentraxin 3
206158_s_at,CNBP,CCHC-type zinc finger nucleic acid binding protein
206159_at,GDF10,growth differentiation factor 10
206160_at,APOBEC2,apolipoprotein B mRNA editing enzyme catalytic subunit 2
206161_s_at,SYT5,synaptotagmin 5
206162_x_at,SYT5,synaptotagmin 5
206163_at,MAB21L1,mab-21 like 1
206163_at,MIR548F5,microRNA 548f-5
206164_at,CLCA2,chloride channel accessory 2
206165_s_at,CLCA2,chloride channel accessory 2
206166_s_at,CLCA2,chloride channel accessory 2
206167_s_at,ARHGAP6,Rho GTPase activating protein 6
206168_at,ZC3H7B,zinc finger CCCH-type containing 7B
206169_x_at,ZC3H7B,zinc finger CCCH-type containing 7B
206170_at,ADRB2,adrenoceptor beta 2
206171_at,ADORA3,adenosine A3 receptor
206172_at,IL13RA2,interleukin 13 receptor subunit alpha 2
206173_x_at,GABPB1,GA binding protein transcription factor subunit beta 1
206173_x_at,GABPB1-IT1,GABPB1 intronic transcript
206174_s_at,PPP6C,protein phosphatase 6 catalytic subunit
206175_x_at,ZNF222,zinc finger protein 222
206176_at,BMP6,bone morphogenetic protein 6
206177_s_at,ARG1,arginase 1
206178_at,PLA2G5,phospholipase A2 group V
206179_s_at,TPPP,tubulin polymerization promoting protein
206180_x_at,ZNF747,zinc finger protein 747
206181_at,SLAMF1,signaling lymphocytic activation molecule family member 1
206182_at,ZNF134,zinc finger protein 134
206183_s_at,HERC3,HECT and RLD domain containing E3 ubiquitin protein ligase 3
206183_s_at,PIGY-DT,PIGY divergent transcript
206184_at,CRKL,"CRK like proto-oncogene, adaptor protein"
206185_at,CRYBB1,crystallin beta B1
206186_at,MPP3,membrane palmitoylated protein 3
206187_at,PTGIR,prostaglandin I2 receptor
206188_at,ZNF623,zinc finger protein 623
206189_at,UNC5C,unc-5 netrin receptor C
206190_at,GPR17,G protein-coupled receptor 17
206191_at,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3
206192_at,CDSN,corneodesmosin
206193_s_at,CDSN,corneodesmosin
206194_at,HOXC4,homeobox C4
206195_x_at,GH2,growth hormone 2
206196_s_at,RUNDC3A,RUN domain containing 3A
206197_at,NME5,NME/NM23 family member 5
206198_s_at,CEACAM7,CEA cell adhesion molecule 7
206199_at,CEACAM7,CEA cell adhesion molecule 7
206200_s_at,ANXA11,annexin A11
206201_s_at,MEOX2,mesenchyme homeobox 2
206202_at,MEOX2,mesenchyme homeobox 2
206203_at,RCVRN,recoverin
206204_at,GRB14,growth factor receptor bound protein 14
206205_at,MPHOSPH9,M-phase phosphoprotein 9
206206_at,CD180,CD180 molecule
206207_at,CLC,Charcot-Leyden crystal galectin
206208_at,CA4,carbonic anhydrase 4
206209_s_at,CA4,carbonic anhydrase 4
206210_s_at,CETP,cholesteryl ester transfer protein
206211_at,SELE,selectin E
206212_at,CPA2,carboxypeptidase A2
206213_at,WNT10B,Wnt family member 10B
206214_at,PLA2G7,phospholipase A2 group VII
206215_at,OPCML,opioid binding protein/cell adhesion molecule like
206216_at,SRPK3,SRSF protein kinase 3
206217_at,EDA,ectodysplasin A
206218_at,MAGEB2,MAGE family member B2
206219_s_at,VAV1,vav guanine nucleotide exchange factor 1
206220_s_at,RASA3,RAS p21 protein activator 3
206221_at,RASA3,RAS p21 protein activator 3
206222_at,TNFRSF10C,TNF receptor superfamily member 10c
206223_at,LMTK2,lemur tyrosine kinase 2
206224_at,CST1,cystatin SN
206225_at,ZNF507,zinc finger protein 507
206226_at,HRG,histidine rich glycoprotein
206227_at,CILP,cartilage intermediate layer protein
206228_at,PAX2,paired box 2
206229_x_at,PAX2,paired box 2
206230_at,LHX1,LIM homeobox 1
206231_at,KCNN1,potassium calcium-activated channel subfamily N member 1
